주성분코드,제품코드
251201ACS,γ-linolenic acid   40mg
251202ACS,γ-linolenic acid   80mg
374601ATB,montelukast sodium (as montelukast   5mg)
374601ATD,montelukast sodium (as montelukast   5mg)
374602ATB,montelukast sodium (as montelukast   10mg)
374602ATD,montelukast sodium (as montelukast   10mg)
374603AGN,montelukast sodium (as montelukast   4mg)
374603ATB,montelukast sodium (as montelukast   4mg)
374603ATD,montelukast sodium (as montelukast   4mg)
391703ATB,olopatadine hydrochloride   5mg
487001ATB,petasites hybridus CO2 extracts   30mg (as total petasin   8mg)
659900ACH,montelukast sodium (as montelukast   10mg)
670600ATB,levocetirizine dihydrochloride   5mg
107301ATB,aminophylline hydrate   0.1g
107301ATR,aminophylline hydrate   0.1g
107303ATR,aminophylline hydrate   0.225g
117903ATB,bisoprolol fumarate   2.5mg
117904ATB,bisoprolol fumarate   1.25mg
144831AEL,digoxin   5mg(50μg/mL)
144801ATB,digoxin   0.25mg
245802ACH,ubidecarenone   5mg
107401ATB,amiodarone hydrochloride   0.2g
110201ATB,arotinolol hydrochloride   10mg
110202ATB,arotinolol hydrochloride   5mg
124801ATB,carteolol hydrochloride   5mg
159302ATB,flecainide acetate   50mg
219501ATB,propafenone hydrochloride   0.15g
219502ATB,propafenone hydrochloride   0.3g
219503ACR,propafenone hydrochloride   0.225g
219504ACR,propafenone hydrochloride   0.325g
219505ACR,propafenone hydrochloride   0.425g
219901ATB,propranolol hydrochloride   10mg
219904ATB,propranolol hydrochloride   40mg
230402ATB,sotalol hydrochloride   40mg
502101ACH,pilsicainide hydrochloride   25mg
502102ACH,pilsicainide hydrochloride   50mg
597401ATB,dronedarone   0.4g
101501ATB,acetazolamide   0.25g
106901ATB,amiloride hydrochloride   5mg
112901ATB,azosemide   60mg
163801ATB,furosemide   40mg
170801ATB,hydrochlorothiazide   25mg
174403ATB,indapamide   2.5mg
231101ATB,spironolactone   25mg
231102ATB,spironolactone   50mg
242001ATB,torasemide   10mg
242002ATB,torasemide   2.5mg
242003ATB,torasemide   5mg
249401ATB,xipamide   20mg
451302ATB,chlorthalidone   25mg
104201ATB,alacepril   25mg
104202ATB,alacepril   50mg
107601ATB,amlodipine besylate (as amlodipine   5mg)
107602ATB,amlodipine besylate (as amlodipine   10mg)
107603ATB,amlodipine besylate (as amlodipine   2.5mg)
111402ATB,atenolol   25mg
111403ATB,atenolol   50mg
114001ACH,barnidipine hydrochloride   10mg
114002ACH,barnidipine hydrochloride   15mg
114003ACH,barnidipine hydrochloride   5mg
115101ATB,benidipine hydrochloride   2mg
115102ATB,benidipine hydrochloride   4mg
115103ATB,benidipine hydrochloride   8mg
115104ATB,benidipine hydrochloride   6mg
116801ATB,betaxolol hydrochloride   10mg
116803ATB,betaxolol hydrochloride   20mg
117001ATB,bevantolol hydrochloride   0.1g
117002ATB,bevantolol hydrochloride   50mg
122601ATB,candesartan cilexetil   8mg
122602ATB,candesartan cilexetil   16mg
122603ATB,candesartan cilexetil   32mg
122901ATB,captopril   12.5mg
122902ATB,captopril   25mg
122903ATB,captopril   50mg
125001ATB,carvedilol   12.5mg
125002ATB,carvedilol   25mg
125003ATB,carvedilol   6.25mg
125004ACR,carvedilol   64mg
125005ATB,carvedilol   3.125mg
125006ACR,carvedilol   32mg
125007ACR,carvedilol   16mg
125008ACR,carvedilol   8mg
133001ATB,cilazapril   0.5mg
133002ATB,cilazapril   1mg
133003ATB,cilazapril   2.5mg
133101ATB,cilnidipine   10mg
133102ATB,cilnidipine   5mg
149101ATB,doxazosin mesylate (as doxazocin   1mg)
149102ATB,doxazosin mesylate (as doxazocin   2mg)
149104ATR,doxazosin mesylate (as doxazocin   4mg)
151601ATB,enalapril maleate   10mg
151603ATB,enalapril maleate   5mg
157501ATR,felodipine   5mg
157503ATR,felodipine   2.5mg
170701ATB,hydralazine hydrochloride   25mg
173401ATB,imidapril hydrochloride   10mg
173402ATB,imidapril hydrochloride   5mg
174401ATR,indapamide   1.5mg
177301ATB,irbesartan   0.15g
177303ATB,irbesartan   0.3g
180301ATB,lacidipine   2mg
180302ATB,lacidipine   4mg
180303ATB,lacidipine   6mg
182001ATB,lercanidipine hydrochloride   10mg
184501ATB,lisinopril   10mg
185701ATB,losartan potassium (as losartan   45.8mg)
185702ATB,losartan potassium (as losartan   91.6mg)
188001ATB,manidipine hydrochloride   10mg
188002ATB,manidipine hydrochloride   20mg
196102ATB,minoxidil   5mg
201003ACR,nicardipine hydrochloride   40mg
211301ATB,perindopril tertbutylamine   4mg
211302ATB,perindopril tertbutylamine   8mg
222401ATB,ramipril   2.5mg
222402ATB,ramipril   5mg
222404ATB,ramipril   10mg
235002ATB,temocapril hydrochloride   2mg
247101ATB,valsartan   80mg
247102ATB,valsartan   0.16g
247103ATB,valsartan   40mg
247104ATB,valsartan   0.32g
262100ATB,atenolol   50mg
262400ATR,felodipine   5mg
262500ATB,hydrochlorothiazide   12.5mg
378900ATB,hydrochlorothiazide   25mg
486900ATB,hydrochlorothiazide   12.5mg
262700ATB,hydrochlorothiazide   25mg
356400ATB,hydrochlorothiazide   12.5mg
442600ATB,hydrochlorothiazide   12.5mg
378801ATB,telmisartan   40mg
378802ATB,telmisartan   80mg
385700ATB,hydrochlorothiazide   12.5mg
385800ATB,hydrochlorothiazide   12.5mg
423700ATB,candesartan cilexetil   16mg
429201ATB,eprosartan mesylate (as eprosartan   0.6g)
443200ATB,hydrochlorothiazide   12.5mg
443300ATB,hydrochlorothiazide   12.5mg
502600ATB,hydrochlorothiazide   25mg
447100ATB,felodipine   2.5mg
447200ATB,felodipine   5mg
459801ACH,amlodipine maleate (as amlodipine   5mg)
459801ATB,amlodipine maleate (as amlodipine   5mg)
459802ACH,amlodipine maleate (as amlodipine   2.5mg)
459901ATB,amlodipine camsylate (as amlodipine   5mg)
460500ATB,eprosartan mesylate (as eprosartan   0.6g)
464601ATB,amlodipine adipate (as amlodipine   5mg)
468501ATB,olmesartan medoxomil   20mg
468502ATB,olmesartan medoxomil   10mg
468503ATB,olmesartan medoxomil   40mg
469800ATB,bisoprolol fumarate   2.5mg
469900ATB,bisoprolol fumarate   5mg
470000ATB,bisoprolol fumarate   10mg
470801ATB,amlodipine mesylate monohydrate (as amlodipine   5mg)
470802ATB,amlodipine mesylate monohydrate (as amlodipine   10mg)
476201ATB,amlodipine orotate (as amlodipine   5mg)
479701ATB,amlodipine nicotinate (as amlodipine   5mg)
483101ATB,S-atenolol   25mg
483102ATB,S-atenolol   12.5mg
483201ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
483202ATB,S-amlodipine besylate (as S-amlodipine   5mg)
483401ACH,Phenoxybenzamine   10mg
485201ATB,bosentan hydrate (as bosentan   62.5mg)
486501ATB,S-amlodipine nicotinate (as S-amlodipine   2.5mg)
486502ATB,S-amlodipine nicotinate (as S-amlodipine   5mg)
489501ATB,nebivolol hydrochloride (as nebivolol   5mg)
489502ATB,nebivolol   2.5mg
489503ATB,nebivolol hydrochloride (as nebivolol   1.25mg)
492800ATB,amlodipine besylate (as amlodipine   5mg)
492900ATB,amlodipine besylate (as amlodipine   5mg)
495800ATB,amlodipine besylate (as amlodipine   10mg)
500500ATB,amlodipine besylate (as amlodipine   5mg)
582200ATB,amlodipine besylate (as amlodipine   5mg)
582400ATB,amlodipine besylate (as amlodipine   10mg)
501601ATB,perindopril arginine   5mg
501602ATB,perindopril arginine   10mg
502700ATB,amlodipine camsylate (as amlodipine   5mg)
503000ATB,amlodipine camsylate (as amlodipine   5mg)
513900ATB,amlodipine camsylate (as amlodipine   10mg)
510401ATB,zofenopril calcium   7.5mg
510402ATB,zofenopril calcium   15mg
510403ATB,zofenopril calcium   30mg
511500ATB,amlodipine besylate (as amlodipine   5mg)
511600ATB,amlodipine besylate (as amlodipine   5mg)
511700ATB,amlodipine besylate (as amlodipine   10mg)
623100ATB,amlodipine besylate (as amlodipine   10mg)
513600ATB,hydrochlorothiazide   12.5mg
515201ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
515202ATB,fimasartan potassium trihydrate (as fimasartan potassium   0.12g)
515203ATB,fimasartan potassium trihydrate (as fimasartan potassium   30mg)
519700ATB,amlodipine besylate (as amlodipine   5mg)
519800ATB,amlodipine besylate (as amlodipine   5mg)
520000ATB,amlodipine besylate (as amlodipine   10mg)
521200ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
521300ATB,S-amlodipine besylate (as S-amlodipine   5mg)
521400ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
644800ATB,telmisartan   80mg
522000ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
526800ATB,fimasartan potassium trihydrate (as fimasartan potassium   0.12g)
522200ATB,lercanidipine hydrochloride   10mg
522300ATB,lercanidipine hydrochloride   10mg
522400ATB,lercanidipine hydrochloride   20mg
522600ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
522700ATB,S-amlodipine besylate (as S-amlodipine   2.5mg)
522800ATB,S-amlodipine besylate (as S-amlodipine   5mg)
522900ATB,amlodipine adipate (as amlodipine   5mg)
523000ATB,amlodipine adipate (as amlodipine   5mg)
523100ATB,amlodipine adipate (as amlodipine   10mg)
523200ATB,amlodipine orotate (as amlodipine   5mg)
523300ATB,amlodipine orotate (as amlodipine   5mg)
523400ATB,amlodipine oratate (as amlodipine   10mg)
547500ATB,olmesartan medoxomil   40mg
547600ATB,olmesartan medoxomil   40mg
547700ATB,olmesartan medoxomil   20mg
547800ATB,s-amlodipine nicotinate (as s-amlodipine   2.5mg)
547900ATB,s-amlodipine nicotinate (as s-amlodipine   2.5mg)
548000ATB,s-amlodipine nicotinate (as s-amlodipine   5mg)
631300ATB,s-amlodipine nicotinate (as s-amlodipine   5mg)
553301ATB,sildenafil citrate (as sildenafil   20mg)
556200ATB,indapamide   1.25mg
564701ATB,ambrisentan   5mg
564702ATB,ambrisentan   10mg
629400ATB,amlodipine orotate (as amlodipine   10mg)
629500ATB,amlodipine orotate (as amlodipine   5mg)
629600ATB,amlodipine orotate (as amlodipine   5mg)
632201ATB,micronized macitentan   10mg
632800ATB,olmesartan medoxomil   20mg
632900ATB,olmesartan medoxomil   40mg
633000ATB,olmesartan medoxomil   40mg
637400ATB,amlodipine besylate (as amlodipine   5mg)
637500ATB,amlodipine besylate (as amlodipine   10mg)
637600ATB,amlodipine besylate (as amlodipine   5mg)
651900ATB,amlodipine besylate (as amlodipine   5mg)
652000ATB,amlodipine besylate (as amlodipine   10mg)
652100ATB,amlodipine besylate (as amlodipine   10mg)
652700ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
652301ATB,selexipag   0.2mg
652302ATB,selexipag   0.8mg
652303ATB,selexipag   0.4mg
652900ATB,amlodipine besylate (as amlodipine   5mg)
653000ATB,amlodipine besylate (as amlodipine   5mg)
653100ATB,amlodipine besylate (as amlodipine   10mg)
662201ATB,S-carvedilol   6.25mg
662202ATB,S-carvedilol   12.5mg
662401ATB,azilsartan medoxomil potassium (as azilsartan medoxomil   20mg)
662402ATB,azilsartan medoxomil potassium (as azilsartan medoxomil   80mg)
662403ATB,azilsartan medoxomil potassium (as azilsartan medoxomil   40mg)
662800ATB,amlodipine camsylate (as amlodipine   5mg)
662900ATB,amlodipine camsylate (as amlodipine   5mg)
663000ATB,amlodipine camsylate (as amlodipine   5mg)
663500ATB,amlodipine besylate  (as amlodipine   5mg)
663600ATB,amlodipine besylate  (as amlodipine   5mg)
663700ATB,amlodipine besylate  (as amlodipine   10mg)
663800ATB,amlodipine besylate  (as amlodipine   10mg)
673500ATB,azilsartan medoxomil potassium (as azilsartan medoxomil   40mg)
673600ATB,azilsartan medoxomil potassium (as azilsartan medoxomil   40mg)
146602ACH,diosmin   0.3g
163601ATB,fraction flavonoid purifiee micronise   0.5g
478801ATB,naftazone   10mg
195601ATB,midodrine hydrochloride   2.5mg
145703ACR,diltiazem hydrochloride   0.18g
145706ATB,diltiazem hydrochloride   30mg
145707ACR,diltiazem hydrochloride   90mg
145707ATR,diltiazem hydrochloride   90mg
160501ACH,flunarizine hydrochloride   5.9mg
178403ACR,isosorbide dinitrate   0.12g
178406ACR,isosorbide dinitrate   20mg
178407ATR,isosorbide dinitrate   40mg
178501ATB,isosorbide mononitrate   20mg
178502ATB,isosorbide mononitrate   40mg
178503ACR,isosorbide mononitrate   50mg
178504ATR,isosorbide mononitrate   60mg
197001ATB,molsidomin   2mg
197002ATB,molsidomin   4mg
198601ACH,nafronyl oxalate   0.1g
198601ATB,nafronyl oxalate   0.1g
201301ATB,nicorandil   5mg
201405ATR,nifedipine   33mg
201407ACS,nifedipine   5mg
201409ATR,nifedipine   40mg
201901ATB,nimodipine   30mg
202602ATL,diluted nitroglycerin (as nitroglycerin   0.6mg)
244501ATB,trimetazidine hydrochloride   20mg
244502ATR,trimetazidine hydrochloride   35mg
247603ATR,verapamil hydrochloride   0.18g
247605ATR,verapamil hydrochloride   0.24g
247606ATB,verapamil hydrochloride   40mg
247607ATB,verapamil hydrochloride   80mg
356202ATR,nisoldipine   10mg
356203ATR,nisoldipine   20mg
441201ATB,efonidipine   40mg
441202ATB,efonidipine   20mg
528201ATR,nifedipine(micronized)   33mg
528202ATR,nifedipine(micronized)   66mg
102201ACH,acipimox   250mg
111501ATB,atorvastatin calcium (as atorvastatin   10mg)
111502ATB,atorvastatin calcium (as atorvastatin   20mg)
111503ATB,atorvastatin calcium (as atorvastatin   40mg)
111504ATB,atorvastatin calcium (as atorvastatin   80mg)
117101ATB,bezafibrate   0.2g
117102ATR,bezafibrate   0.4g
136901ATB,clopidogrel bisulfate (as clopidogrel   75mg)
157702ACR,fenofibrate pellet (as fenofibrate   0.25g)
162401ACH,fluvastatin   20mg
162402ACH,fluvastatin   40mg
162403ATR,fluvastatin   80mg
165001ACH,gemfibrozil   0.3g
185801ATB,lovastatin   20mg
194901ACH,fenofibrate granule(micronized) (as fenofibrate   0.2g)
194902ACH,fenofibrate granule(micronized) (as fenofibrate   0.13g)
194930ACH,fenofibrate(micronized)   0.16g
194930ATB,fenofibrate(micronized)   0.16g
216601ATB,pravastatin sodium   10mg
216602ATB,pravastatin sodium   5mg
216603ATB,pravastatin sodium   20mg
216604ATB,pravastatin sodium   40mg
227801ATB,simvastatin   20mg
227801ATR,simvastatin   20mg
227802ATB,simvastatin   40mg
227806ATB,simvastatin   5mg
454001ATB,rosuvastatin calcium (as rosuvastatin   10mg)
454002ATB,rosuvastatin calcium (as rosuvastatin   20mg)
454003ATB,rosuvastatin calcium (as rosuvastatin   5mg)
462201ATB,ezetimibe   10mg
470901ATB,pitavastatin calcium   2mg
470902ATB,pitavastatin calcium   1mg
470903ATB,pitavastatin calcium   4mg
471000ATB,ezetimibe   10mg
471100ATB,ezetimibe   10mg
507800ATB,ezetimibe   10mg
473002ATR,nicotinic acid   0.5g
478601ACS,"omega-3-acid ethyl esters90   1g (as EPA ethylester   0.46g, DHA ethylester   0.38g, α-tocopherol   4mg)"
492501ATB,clopidogrel resinate (as clopidogrel   75mg)
495201ATB,clopidogrel besylate (as clopidogrel   75mg)
498801ATB,clopidogrel napadisilate monohydrate (as clopidogrel   75mg)
498900ATB,ginkgo biloba ext.   80mg
501501ATB,clopidogrel camsylate (as clopidogrel   75mg)
502201ATB,atorvastatin strontium pentahydrat (as atorvastatin   10mg)
502202ATB,atorvastatin strontium pentahydrat (as atorvastatin   20mg)
502203ATB,atorvastatin strontium pentahydrat (as atorvastatin   40mg)
502204ATB,atorvastatin strontium pentahydrat (as atorvastatin   80mg)
517900ACE,aspirin   0.1g
517900ATE,aspirin   0.1g
667500ACE,aspirin   75mg
519300ACH,fenofibrate   0.16g
520301ACH,fenofibric acid   0.135g
520302ATE,fenofibric acid   0.11g
597301ATB,prasugrel hydrochloride (as prasugrel   5mg)
597302ATB,prasugrel hydrochloride (as prasugrel   10mg)
615901ATB,ticagrelor   90mg
615902ATB,ticagrelor   60mg
631400ATB,fenofibrate   0.145g
631500ATB,fenofibrate   0.145g
633800ATB,atorvastatin calcium (as atorvastatin   10mg)
633900ATB,atorvastatin calcium (as atorvastatin   20mg)
634600ATB,atorvastatin calcium (as atorvastatin   80mg)
634800ATB,atorvastatin calcium (as atorvastatin   40mg)
640700ATB,ezetimibe   10mg
640800ATB,ezetimibe   10mg
640900ATB,ezetimibe   10mg
642301ACR,choline fenofibrate (as fenofibric acid   0.135g)
642301ATR,choline fenofibrate (as fenofibric acid   0.135g)
663400ACS,"omega-3-acid ethyl esters90   1g (as EPA ethylester   0.46g, DHA ethylester   0.38g, α-tocopherol   4mg)"
679300ACH,fenofibrate granule(micronized) (as fenofibrate   0.16g)
679401ACS,"omega-3-acid ethyl esters90   2g (as EPA ethylester   0.92g, DHA ethylester   0.76g)"
101601APD,acetyl L-carnitine hydrochloride (as acetyl L-carnitine   0.5g)
101601ATB,acetyl L-carnitine hydrochloride (as acetyl L-carnitine   0.5g)
111001ACE,aspirin(enteric coated) (as aspirin   0.1g)
111001ATE,aspirin(enteric coated) (as aspirin   0.1g)
111002ATE,aspirin(enteric coated) (as aspirin   75mg)
111003ATE,aspirin(enteric coated) (as aspirin   81mg)
117901ATB,bisoprolol fumarate   10mg
117902ATB,bisoprolol fumarate   5mg
121701ATB,calcium acetate   0.71g
124531ALQ,L-carnitine   30g(0.3g/mL)
124501ATB,L-carnitine   1g
124503ATB,L-carnitine   0.33g
129101ATB,celiprolol hydrochloride   0.2g
132301APD,cholestyramine resin   4g
148101ATB,dobesilate calcium   0.25g
148103ATB,dobesilate calcium   0.5g
165301ATB,ginkgo biloba leaf ext.   0.12g
165303ACS,ginkgo biloba leaf ext.   40mg
165303ATB,ginkgo biloba leaf ext.   40mg
165305ATB,ginkgo biloba leaf ext.   80mg
172701ACH,ibudilast   10mg
173201ATB,ifenprodil tartrate   20mg
179302ATE,kallidinogenase   25I.U
179303ATE,kallidinogenase   50I.U
184101ATB,limaprost α-cyclodextrin (as limaprost   5μg)
193802ATB,metoprolol tartrate   0.1g
194003ATR,metoprolol succinate   95mg
198301ATB,nadolol   40mg
201201ATB,nicergoline   10mg
201203ATB,nicergoline   30mg
201204ATB,nicergoline   5mg
210802ATR,pentoxifylline   0.4g
215430ASS,polystyrene sulfonate calcium   5g(0.25g/mL)
215432ASS,polystyrene sulfonate calcium   5g
215402ACM,polystyrene sulfonate calcium   5g
215402AGN,polystyrene sulfonate calcium   5g
215402APD,polystyrene sulfonate calcium   5g
233001ACS,sulfomucopolysaccharide   200I.U
233303ACS,sulodexide   250I.U
244101ACH,triflusal   0.3g
244102ACH,triflusal   0.15g
248901ATB,vitis vinifera ext.   50mg
248902ATB,vitis vinifera ext.   0.15g
428502ATB,sevelamer hydrochloride   0.8g
430301ACH,mesoglycan sodium   50mg
461601ATB,citicoline sodium (as citicoline   0.5g)
472300ATB,amlodipine besylate (as amlodipine   5mg)
472400ATB,amlodipine besylate (as amlodipine   5mg)
472500ATB,amlodipine besylate (as amlodipine   5mg)
518900ATB,amlodipine besylate (as amlodipine   10mg)
487102ATB,lanthanum carbonate (as lanthanum   0.5g)
487103APD,lanthanum carbonate (as lanthanum   0.75g)
487103ATB,lanthanum carbonate (as lanthanum   0.75g)
487104APD,lanthanum carbonate (as lanthanum   1g)
489700ACR,aspirin   25mg
495401ACH,vitis vinifera leaf ext.   0.18g
517701APD,sevelamer carbonate   0.8g
517701ATB,sevelamer carbonate   0.8g
524000ATB,atorvastatin calcium (as atorvastatin   10mg)
524100ATB,atorvastatin calcium (as atorvastatin   20mg)
527000ATB,atorvastatin calcium (as atorvastatin   20mg)
527100ATB,atorvastatin calcium (as atorvastatin   10mg)
525000ATB,rosuvastatin calcium (as rosuvastatin   10mg)
525100ATB,rosuvastatin calcium (as rosuvastatin   10mg)
525200ATB,rosuvastatin calcium (as rosuvastatin   20mg)
525300ATB,rosuvastatin calcium (as rosuvastatin   20mg)
629700ATB,rosuvastatin calcium (as rosuvastatin   5mg)
629800ATB,rosuvastatin calcium (as rosuvastatin   5mg)
526300ATB,olmesartan medoxomil   20mg
526400ATB,olmesartan medoxomil   20mg
526500ATB,olmesartan medoxomil   40mg
526900ATB,olmesartan medoxomil   20mg
644100ATB,olmesartan medoxomil   10mg
644200ATB,olmesartan medoxomil   10mg
653200ATB,olmesartan medoxomil   40mg
550401ATB,ivabradine hydrochloride (as ivabradine   5mg)
550402ATB,ivabradine hydrochloride (as ivabradine   7.5mg)
614500ATB,atorvastatin calcium (as atorvastatin   10mg)
616501ATB,tolvaptan SD powder (as tolvaptan   15mg)
616502ATB,tolvaptan SD powder (as tolvaptan   30mg)
629900ATB,telmisartan   40mg
630000ATB,telmisartan   40mg
630100ATB,telmisartan   80mg
630200ATB,telmisartan   80mg
631600ATB,telmisartan   40mg
631700ATB,telmisartan   80mg
634900ATB,pitavastatin calcium   2mg
635000ATB,pitavastatin calcium   2mg
635100ATB,pitavastatin calcium   4mg
635200ATB,pitavastatin calcium   4mg
651401ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   0.1g
651402ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   0.2g
651403ATB,sacubitril/valsartan sodium hydrate (as sacubitril/valsartan)   50mg
654700ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
654800ATB,fimasartan potassium trihydrate (as fimasartan potassium   60mg)
